bps_kode_kecamatan,bps_nama_kecamatan,bps_kode_desa_kelurahan,bps_desa_kelurahan,kategori_pelanggaran,tahun
3273141,ANTAPANI,3273141001,ANTAPANI KIDUL,PERKELAHIAN,2020.0
3273141,ANTAPANI,3273141001,ANTAPANI KIDUL,PERKELAHIAN,2020.0
3273141,ANTAPANI,3273141001,ANTAPANI KIDUL,PERKELAHIAN,2020.0
3273141,ANTAPANI,3273141001,ANTAPANI KIDUL,PERKELAHIAN,2020.0
3273141,ANTAPANI,3273141001,ANTAPANI KIDUL,PERKELAHIAN YANG MENIMBULKAN LUKA PARAH,2020.0
3273141,ANTAPANI,3273141001,ANTAPANI KIDUL,PENCURIAN,2020.0
3273141,ANTAPANI,3273141001,ANTAPANI KIDUL,PENCURIAN,2020.0
3273141,ANTAPANI,3273141001,ANTAPANI KIDUL,PENCURIAN,2020.0
3273141,ANTAPANI,3273141001,ANTAPANI KIDUL,PENCURIAN,2020.0
3273141,ANTAPANI,3273141001,ANTAPANI KIDUL,PENCURIAN,2020.0
3273141,ANTAPANI,3273141001,ANTAPANI KIDUL,PENCURIAN,2020.0
3273141,ANTAPANI,3273141001,ANTAPANI KIDUL,PENCURIAN,2020.0
3273141,ANTAPANI,3273141001,ANTAPANI KIDUL,PENCURIAN,2020.0
3273141,ANTAPANI,3273141001,ANTAPANI KIDUL,PENCURIAN,2020.0
3273141,ANTAPANI,3273141001,ANTAPANI KIDUL,PENCURIAN,2020.0
3273141,ANTAPANI,3273141001,ANTAPANI KIDUL,PENCURIAN,2020.0
3273141,ANTAPANI,3273141004,ANTAPANI KULON,PENCURIAN,2020.0
3273141,ANTAPANI,3273141004,ANTAPANI KULON,PENCURIAN,2020.0
3273141,ANTAPANI,3273141004,ANTAPANI KULON,PENJAMBRETAN,2020.0
3273120,UJUNG BERUNG,3273120007,PASIR ENDAH,PENCURIAN,2018.0
3273120,UJUNG BERUNG,3273120006,CIGENDING,PENCURIAN,2018.0
3273120,UJUNG BERUNG,3273120006,CIGENDING,PENCURIAN,2018.0
3273120,UJUNG BERUNG,3273120006,CIGENDING,PENCURIAN,2018.0
3273120,UJUNG BERUNG,3273120006,CIGENDING,PENCURIAN,2018.0
3273120,UJUNG BERUNG,3273120006,CIGENDING,PENCURIAN,2018.0
3273120,UJUNG BERUNG,3273120006,CIGENDING,PENCURIAN,2018.0
3273120,UJUNG BERUNG,3273120006,CIGENDING,PENCURIAN,2018.0
3273120,UJUNG BERUNG,3273120006,CIGENDING,PENCURIAN,2018.0
3273120,UJUNG BERUNG,3273120006,CIGENDING,PENCURIAN,2018.0
3273120,UJUNG BERUNG,3273120006,CIGENDING,PERKELAHIAN,2018.0
3273120,UJUNG BERUNG,3273120005,PASIR WANGI,PERKELAHIAN KELUARGA,2018.0
3273120,UJUNG BERUNG,3273120005,PASIR WANGI,PENJAMBRETAN,2018.0
3273120,UJUNG BERUNG,3273120005,PASIR WANGI,PENCURIAN KENDARAAN BERMOTOR,2018.0
3273120,UJUNG BERUNG,3273120005,PASIR WANGI,PERAMPASAN,2018.0
3273120,UJUNG BERUNG,3273120007,PASIR ENDAH,PENCURIAN,2019.0
3273120,UJUNG BERUNG,3273120006,CIGENDING,PENCURIAN,2019.0
3273120,UJUNG BERUNG,3273120006,CIGENDING,PENCURIAN,2019.0
3273120,UJUNG BERUNG,3273120006,CIGENDING,PENCURIAN,2019.0
3273120,UJUNG BERUNG,3273120006,CIGENDING,PENCURIAN,2019.0
3273120,UJUNG BERUNG,3273120006,CIGENDING,PENCURIAN,2019.0
3273120,UJUNG BERUNG,3273120006,CIGENDING,PENCURIAN,2019.0
3273120,UJUNG BERUNG,3273120006,CIGENDING,PENCURIAN,2019.0
3273120,UJUNG BERUNG,3273120006,CIGENDING,PENCURIAN,2019.0
3273120,UJUNG BERUNG,3273120006,CIGENDING,PERKELAHIAN,2019.0
3273120,UJUNG BERUNG,3273120005,PASIR WANGI,PERKELAHIAN KELUARGA,2019.0
3273120,UJUNG BERUNG,3273120005,PASIR WANGI,PENJAMBRETAN,2019.0
3273120,UJUNG BERUNG,3273120005,PASIR WANGI,PENCURIAN KENDARAAN BERMOTOR,2019.0
3273120,UJUNG BERUNG,3273120005,PASIR WANGI,PERAMPASAN,2019.0
3273120,UJUNG BERUNG,3273120004,PASIRJATI,PENCURIAN,2019.0
3273120,UJUNG BERUNG,3273120004,PASIRJATI,PENCURIAN,2019.0
3273120,UJUNG BERUNG,3273120004,PASIRJATI,PENCURIAN,2019.0
3273120,UJUNG BERUNG,3273120004,PASIRJATI,PENCURIAN,2019.0
3273120,UJUNG BERUNG,3273120007,PASIR ENDAH,PENCURIAN RODA DUA,2020.0
3273120,UJUNG BERUNG,3273120007,PASIR ENDAH,PENCURIAN HP,2020.0
3273120,UJUNG BERUNG,3273120007,PASIR ENDAH,PENCURIAN RODA DUA,2020.0
3273120,UJUNG BERUNG,3273120007,PASIR ENDAH,PENCURIAN RODA DUA,2020.0
3273120,UJUNG BERUNG,3273120007,PASIR ENDAH,PENCURIAN RODA DUA,2020.0
3273120,UJUNG BERUNG,3273120004,PASIRJATI,PENCURIAN (1 KASUS),2020.0
3273120,UJUNG BERUNG,3273120004,PASIRJATI,PENCURIAN (3 KASUS),2020.0
3273101,GEDEBAGE,3273101001,RANCABOLANG,BALAP LIAR,2018.0
3273101,GEDEBAGE,3273101002,RANCANUMPANG,BALAP LIAR,2018.0
3273101,GEDEBAGE,3273101001,RANCABOLANG,PENCURIAN,2019.0
3273101,GEDEBAGE,3273101001,RANCABOLANG,PENGANIAYAAN,2019.0
3273101,GEDEBAGE,3273101004,CIMINCRANG,BUANG SAMPAH SEMBARANGAN,2019.0
3273101,GEDEBAGE,3273101001,RANCABOLANG,PENCURIAN,2020.0
3273101,GEDEBAGE,3273101001,RANCABOLANG,PENGANIAYAAN,2020.0
3273101,GEDEBAGE,3273101004,CIMINCRANG,BUANG SAMPAH SEMBARANGAN,2020.0
3273260,CIDADAP,3273260001,HEGARMANAH,CURANMOR,2018.0
3273260,CIDADAP,3273260001,HEGARMANAH,CURANMOR,2018.0
3273260,CIDADAP,3273260002,CIUMBULEUIT,CURANMOR,2018.0
3273260,CIDADAP,3273260002,CIUMBULEUIT,CURANMOR,2018.0
3273260,CIDADAP,3273260002,CIUMBULEUIT,CURANMOR,2018.0
3273260,CIDADAP,3273260002,CIUMBULEUIT,CURANMOR,2018.0
3273260,CIDADAP,3273260002,CIUMBULEUIT,CURANMOR,2018.0
3273260,CIDADAP,3273260003,LEDENG,CURANMOR,2018.0
3273260,CIDADAP,3273260003,LEDENG,CURANMOR,2018.0
3273260,CIDADAP,3273260001,HEGARMANAH,CURANMOR,2020.0
3273260,CIDADAP,3273260001,HEGARMANAH,CURANMOR,2020.0
3273260,CIDADAP,3273260002,CIUMBULEUIT,CURANMOR,2020.0
3273260,CIDADAP,3273260002,CIUMBULEUIT,CURANMOR,2020.0
3273260,CIDADAP,3273260002,CIUMBULEUIT,CURANMOR,2020.0
3273260,CIDADAP,3273260002,CIUMBULEUIT,CURANMOR,2020.0
3273260,CIDADAP,3273260002,CIUMBULEUIT,CURANMOR,2020.0
3273260,CIDADAP,3273260003,LEDENG,CURANMOR,2020.0
3273260,CIDADAP,3273260003,LEDENG,CURANMOR,2020.0
3273130,ARCAMANIK,3273130002,CISARANTEN BINA HARAPAN,BEGAL,2020.0
3273130,ARCAMANIK,3273130002,CISARANTEN BINA HARAPAN,BEGAL,2020.0
3273130,ARCAMANIK,3273130001,CISARANTEN KULON,BEGAL,2020.0
3273130,ARCAMANIK,3273130001,CISARANTEN KULON,BEGAL,2020.0
3273130,ARCAMANIK,3273130001,CISARANTEN KULON,BEGAL,2020.0
3273130,ARCAMANIK,3273130003,SUKAMISKIN,BEGAL,2020.0
3273130,ARCAMANIK,3273130003,SUKAMISKIN,BEGAL,2020.0
3273130,ARCAMANIK,3273130003,SUKAMISKIN,BEGAL,2020.0
3273130,ARCAMANIK,3273130005,CISARANTEN ENDAH,BEGAL,2020.0
3273130,ARCAMANIK,3273130005,CISARANTEN ENDAH,BEGAL,2020.0
3273130,ARCAMANIK,3273130005,CISARANTEN ENDAH,BEGAL,2020.0
3273040,BOJONGLOA KIDUL,3273040006,SITUSAEUR,CURANMOR,2019.0
3273040,BOJONGLOA KIDUL,3273040001,CIBADUYUT KIDUL,PENCURIAN,2019.0
3273160,BATUNUNGGAL,3273160002,BINONG,PENCURIAN,2020.0
3273250,SUKASARI,3273250003,GEGERKALONG,CURANMOR,2018.0
3273250,SUKASARI,3273250002,SUKARASA,PENCURIAN,2018.0
3273250,SUKASARI,3273250002,SUKARASA,BEGAL - TAWURAN - GENG MOTOR,2018.0
3273250,SUKASARI,3273250002,SUKARASA,KERIBUTAN WARGA,2018.0
3273250,SUKASARI,3273250002,SUKARASA,KERIBUTAN WARGA,2018.0
3273250,SUKASARI,3273250004,ISOLA,PENCURIAN,2018.0
3273250,SUKASARI,3273250003,GEGERKALONG,CURANMOR,2019.0
3273250,SUKASARI,3273250002,SUKARASA,PENCURIAN,2019.0
3273250,SUKASARI,3273250002,SUKARASA,BEGAL - TAWURAN - GENG MOTOR,2019.0
3273250,SUKASARI,3273250002,SUKARASA,KERIBUTAN WARGA,2019.0
3273250,SUKASARI,3273250002,SUKARASA,KERIBUTAN WARGA,2019.0
3273250,SUKASARI,3273250004,ISOLA,PENCURIAN,2019.0
3273250,SUKASARI,3273250002,SUKARASA,PENCURIAN MOTOR,2020.0
3273250,SUKASARI,3273250002,SUKARASA,PENCURIAN MOTOR,2020.0
3273250,SUKASARI,3273250002,SUKARASA,PENCURIAN MOTOR,2020.0
3273250,SUKASARI,3273250002,SUKARASA,PENCURIAN MOTOR,2020.0
3273250,SUKASARI,3273250003,GEGERKALONG,PENCURIAN MOTOR,2020.0
3273250,SUKASARI,3273250004,ISOLA,PENCURIAN MOTOR,2020.0
3273250,SUKASARI,3273250004,ISOLA,PENCURIAN MOTOR,2020.0
3273250,SUKASARI,3273250001,SARIJADI,PENCURIAN MOTOR,2020.0
3273250,SUKASARI,3273250001,SARIJADI,PENCURIAN MOTOR,2020.0
3273250,SUKASARI,3273250001,SARIJADI,PENCURIAN MOTOR,2020.0
